time,e_xx,el_strain_xx,euler_angle_1,euler_angle_2,euler_angle_3,fp_xx,stress_xx,stress_yy,tot_strain_xx,vonmises
0,0,0,0,0,0,0,0,0,0,0
0.0003125,3.1373531064649e-05,0,2.7243079941366,0.36478073578294,3.1403136649169,1,4.5776194586099,-7.4091633617725e-09,3.1372554271716e-05,3.9959822461604
0.000625,6.2748061234992e-05,0,2.7241190643465,0.36478073578297,3.1403136649169,1,9.1558587043965,-3.2155688047522e-08,6.2744154176529e-05,7.9925333204375
0.0009375,9.4123590464048e-05,0,2.7239301450088,0.36478073578293,3.1403136649169,1,13.734717791204,-7.2424186566288e-08,9.4114799728876e-05,11.989653279601
0.00125,0.00012550011870508,0,2.7237412361192,0.36478073578286,3.1403136649169,1,18.314196771138,-1.2915824820041e-07,0.00012548449094341,15.987342181214
0.0015625,0.0001568776459116,0,2.7235523376738,0.36478073578302,3.1403136649169,1,22.894295697085,-2.0226020230919e-07,0.00015685322783502,19.985600082645
0.001875,0.00018825617203737,0,2.7233634496687,0.36478073578294,3.1403136649169,1,27.475014621952,-2.9165734649714e-07,0.00018822101041882,23.984427041309
0.0021875,0.0002196356970364,0,2.7231745720997,0.36478073578291,3.1403136649169,1,32.056353600877,-3.938876179816e-07,0.00021958783871018,27.98382311369
0.0025,0.00025101622086294,0,2.7229857049629,0.36478073578292,3.1403136649169,1,36.638312682504,-5.1565096805296e-07,0.00025095371272466,31.983788359188
0.0028125,0.00028239774347148,0,2.722796848254,0.36478073578288,3.1403136649169,1,41.220891922359,-6.5313517851188e-07,0.00028231863247805,35.984322834335
0.003125,0.00031378026481675,0,2.7226080019693,0.36478073578289,3.1403136649169,1,45.804091373774,-8.0563734630599e-07,0.0003136825979864,39.98542659636
0.0034375,0.00034516378485375,0,2.7224191661047,0.36478073578303,3.1403136649169,1,50.387911087645,-9.7607712193663e-07,0.00034504560926593,43.987099703445
0.00375,0.00037654830353767,0,2.722230340656,0.36478073578298,3.140313664917,1,54.972351118625,-1.160811421428e-06,0.00037640766633312,47.98934221147
0.0040625,0.00040793382082398,0,2.7220415256194,0.36478073578309,3.1403136649171,1.0000000000001,59.557411515593,-1.3637102292909e-06,0.00040776876920466,51.992154177649
0.004375,0.00043932033666838,0,2.7218527209904,0.36478073578328,3.1403136649173,1.0000000000002,64.143092331305,-1.5800037457947e-06,0.00043912891789744,55.995535655256
0.0046875,0.00047070785102676,0,2.7216639267648,0.36478073578363,3.1403136649178,1.0000000000004,68.72939360889,-1.8153314078143e-06,0.00047048811242859,59.999486697949
0.005,0.00050209636385531,0,2.721475142938,0.36478073578434,3.1403136649187,1.0000000000008,73.316315393096,-2.0649958878776e-06,0.00050184635281546,64.004007352054
0.0053125,0.00053348587511041,0,2.7212863695049,0.36478073578553,3.1403136649203,1.0000000000015,77.903857716801,-2.3306288576797e-06,0.00053320363907558,68.009097658863
0.005625,0.00056487638474868,0,2.7210976064596,0.36478073578802,3.1403136649232,1.0000000000028,82.49202060195,-2.6115162741791e-06,0.00056455997122673,72.014757648094
0.0059375,0.00059626789272697,0,2.7209088537951,0.36478073579208,3.1403136649282,1.0000000000049,87.0808040494,-2.9108043416016e-06,0.00059591534928689,76.02098733426
0.00625,0.00062766039900238,0,2.7207201115029,0.36478073579893,3.1403136649365,1.0000000000085,91.670208035776,-3.2264481979845e-06,0.00062726977327425,80.027786706286
0.00640625,0.00064335702648706,0,2.7206257442331,0.36478073580316,3.1403136649419,1.0000000000109,93.965142708461,-3.3971243504902e-06,0.00064294662751031,82.03140001317
0.00671875,0.00067475103012944,0,2.7204370174894,0.36478073581709,3.140313664959,1.0000000000183,98.555477413608,-3.7234588615432e-06,0.00067429962042412,86.039053845288
0.00703125,0.00070614603196116,0,2.7202483010749,0.36478073583906,3.1403136649861,1.0000000000301,103.14643232114,-4.101866984212e-06,0.00070565165931033,90.047277125761
0.00734375,0.00073754203194185,0,2.7200595949729,0.36478073587303,3.140313665028,1.0000000000483,107.7380072771,-4.44227175064e-06,0.00073700274418937,94.05606965562
0.00765625,0.00076893903002938,0,2.7198708991604,0.36478073592462,3.1403136650915,1.0000000000759,112.33020184102,-4.8409320647513e-06,0.00076835287508022,98.065431141405
0.00796875,0.00080033702618214,0,2.7196822135948,0.36478073600141,3.1403136651863,1.000000000117,116.92301550126,-5.2401788217661e-06,0.00079970205200229,102.07536109747
0.00828125,0.00083173602035876,0,2.7194935382237,0.36478073611417,3.1403136653256,1.0000000001775,121.51644746655,-5.6614210811747e-06,0.00083105027497532,106.08585886013
0.00859375,0.00086313601251813,0,2.7193048729765,0.36478073627777,3.1403136655274,1.0000000002651,126.11049666468,-6.0957948398854e-06,0.00086239754401927,110.09692349392
0.00890625,0.00089453700261944,0,2.7191162177596,0.36478073651149,3.140313665816,1.0000000003904,130.70516162203,-6.5503111766559e-06,0.00089374385915442,114.10855372553
0.00921875,0.00092593899062212,0,2.718927572449,0.36478073684139,3.1403136662237,1.0000000005673,135.30044036822,-7.0186209039378e-06,0.00092508922040137,118.12074783502
0.00953125,0.00095734197648596,0,2.7187389368836,0.3647807373019,3.1403136667928,1.0000000008141,139.89633028045,-7.5045396353643e-06,0.0009564336277811,122.13350353988
0.00984375,0.00098874596017109,0,2.7185503108533,0.36478073793814,3.140313667579,1.000000001155,144.49282792291,-8.0023724233877e-06,0.00098777708131503,126.14681783744
0.01015625,0.001020150941638,0,2.7183616940882,0.36478073880766,3.140313668654,1.0000000016211,149.08992882289,-8.5148240577263e-06,0.001019119581025,130.16068682399
